url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v,0.745,0.561,0,-4.869,1,0.0807,0.0758,0.0,0.133,0.449,77.557,248431,4,0
https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,4,0
https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,0.768,0.339,0,-13.169,1,0.777,0.608,0.000956,0.261,0.568,76.229,154599,4,0
https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,0
https://open.spotify.com/track/54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,8,-5.108,1,0.0474,0.0791,0.0,0.312,0.352,167.96,184893,4,0
https://open.spotify.com/track/4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040,4,0
https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,0.739,0.616,7,-6.963,0,0.0338,0.252,1.93e-06,0.101,0.654,91.071,158466,4,0
https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,244973,4,0
https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,4,0
https://open.spotify.com/track/5hc71nKsUgtwQ3z52KEKQk,0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,347520,4,0
https://open.spotify.com/track/14BH4qO7pgCmIe6mgLKOK3,0.468,0.936,2,-3.683,1,0.0455,0.00568,0.0,0.24,0.663,75.05,219800,4,0
https://open.spotify.com/track/1bNHxVNVvSUstYtbU55npC,0.781,0.599,1,-6.348,0,0.0315,0.0355,0.000244,0.0917,0.854,124.112,236480,4,0
https://open.spotify.com/track/6t6oULCRS6hnI7rm0h5gwl,0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,4,0
https://open.spotify.com/track/2BWWsCwuHAZFE1scLyP6Qe,0.559,0.849,3,-4.676,1,0.0454,0.0854,0.0,0.328,0.759,86.978,182827,4,0
https://open.spotify.com/track/24QBf1y8rRcyBgKjoUlIdn,0.488,0.781,9,-5.758,1,0.0446,0.0173,0.0,0.208,0.582,76.971,188002,4,0
https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,0.497,0.693,8,-7.024,1,0.0565,0.19,0.0,0.215,0.358,111.539,296493,3,0
https://open.spotify.com/track/6Ymvlzom4TQeoKqAWsZRD8,0.554,0.794,11,-5.417,1,0.035,0.0697,0.0,0.63,0.79,176.01,213827,4,0
https://open.spotify.com/track/0ll8uFnc0nANY35E0Lfxvg,0.453,0.655,9,-4.22,1,0.0259,0.0794,7.61e-06,0.0849,0.368,172.012,236160,4,0
https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120.03,186878,4,0
https://open.spotify.com/track/4Xbotg4PCLJw9cDx2dtZLK,0.566,0.543,5,-4.485,1,0.0314,0.613,0.0,0.106,0.299,89.937,209965,4,0
https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333,4,0
https://open.spotify.com/track/4riDfclV7kPDT9D58FpmHd,0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,118393,4,0
https://open.spotify.com/track/5CG9Ps5ynNjpKJHmwc95pa,0.569,0.638,7,-6.557,1,0.0291,0.000547,0.0,0.0848,0.438,144.042,197120,4,0
https://open.spotify.com/track/7HGTkn2aX7MNdKs7nV2xBt,0.509,0.987,10,-3.198,0,0.0886,8.05e-05,0.000928,0.119,0.647,138.039,197160,4,0
